order_id,product_category,customer_state,order_purchase_timestamp,order_price,order_freight,delivery_days,review_score
00010242fe8c5a6d1ba2dd792cb16214,cool_stuff,RJ,2017-09-13 08:59:02,58.9,13.29,7,5.0
00018f77f2f0320c557190d7a144bdd3,pet_shop,SP,2017-04-26 10:53:06,239.9,19.93,16,4.0
000229ec398224ef6ca0657da4fc703e,furniture_decor,MG,2018-01-14 14:33:31,199.0,17.87,8,5.0
00024acbcdf0a6daa1e931b038114c75,perfumery,SP,2018-08-08 10:00:35,12.99,12.79,6,4.0
00042b26cf59d7ce69dfabb4e55b4fd9,garden_tools,SP,2017-02-04 13:57:51,199.9,18.14,25,5.0
00048cc3ae777c65dbb7d2a0634bc1ea,housewares,MG,2017-05-15 21:42:34,21.9,12.69,7,4.0
00054e8431b9d7675808bcb819fb4a32,telephony,SP,2017-12-10 11:53:48,19.9,11.85,8,4.0
000576fe39319847cbb9d288c5617fa6,garden_tools,SP,2018-07-04 12:08:27,810.0,70.75,5,5.0
0005a1a1728c9d785b8e2b08b904576c,health_beauty,SP,2018-03-19 18:40:33,145.95,11.65,10,1.0
0005f50442cb953dcd1d21e1fb923495,books_technical,SP,2018-07-02 13:59:39,53.99,11.4,2,4.0
00061f2a7bc09da83e415a52dc8a4af1,health_beauty,SP,2018-03-24 22:16:10,59.99,8.88,5,5.0
00063b381e2406b52ad429470734ebd5,fashion_bags_accessories,SP,2018-07-27 17:21:27,45.0,12.98,11,5.0
0006ec9db01a64e59a68b2c340bf65a7,bed_bath_table,RJ,2018-07-24 17:04:17,74.0,23.32,7,5.0
0008288aa423d2a3f00fcb17cd7d8719,garden_tools,SP,2018-02-13 22:10:21,99.8,26.74,13,5.0
0009792311464db532ff765bf7b182ae,sports_leisure,MG,2018-08-14 20:43:09,99.9,27.65,8,5.0
0009c9a17f916a706d71784483a5d643,consoles_games,SP,2018-04-25 09:10:41,639.0,11.34,5,4.0
000aed2e25dbad2f9ddb70584c5a2ded,perfumery,SP,2018-05-11 20:33:38,144.0,8.77,7,1.0
000c3e6612759851cc3cbb4b83257986,sports_leisure,SP,2017-08-12 10:08:57,99.0,13.71,7,5.0
000e562887b1f2006d75e0be9558292e,cool_stuff,SP,2018-02-22 11:54:42,25.0,16.11,18,3.0
000e63d38ae8c00bbcb5a30573b99628,bed_bath_table,SP,2018-03-23 19:48:26,47.9,8.88,4,3.0
000e906b789b55f64edcb1f84030f90d,telephony,SP,2017-11-21 18:54:23,21.99,11.85,18,3.0
000f25f4d72195062c040b12dce9a18a,office_furniture,RJ,2018-03-07 10:33:13,119.99,44.4,15,4.0
001021efaa8636c29475e7734483457d,fashion_bags_accessories,PR,2018-02-27 09:27:14,49.0,15.1,9,4.0
0010b2e5201cc5f1ae7e9c6cc8f5bd00,cool_stuff,RJ,2017-09-11 17:39:33,48.9,16.6,12,5.0
00119ff934e539cf26f92b9ef0cdfed8,sports_leisure,RJ,2017-08-06 00:42:49,219.9,16.98,10,5.0
0011d82c4b53e22e84023405fb467e57,luggage_accessories,SP,2018-01-16 21:43:23,289.0,26.33,10,4.0
00125cb692d04887809806618a2a145f,furniture_decor,GO,2017-03-23 12:21:17,109.9,25.51,15,5.0
00130c0eee84a3d909e75bc08c5c3ca1,food,SP,2018-06-11 21:17:00,27.9,7.94,2,5.0
0013503b13da1eac686219390b7d641b,furniture_decor,SP,2017-12-05 23:40:59,119.9,17.32,15,5.0
00137e170939bba5a3134e2386413108,agro_industry_and_commerce,RJ,2017-11-24 16:50:38,397.0,24.65,17,4.0
001427c0ec99cf8af737bd88e92fd444,furniture_decor,MG,2018-04-07 18:51:22,59.9,23.35,18,2.0
0014ae671de39511f7575066200733b7,telephony,PR,2017-05-22 13:49:03,16.5,14.1,16,5.0
0015ebb40fb17286bea51d4607c4733c,electronics,PR,2018-01-14 09:01:36,21.9,15.1,18,5.0
00169e31ef4b29deaae414f9a5e95929,bed_bath_table,RJ,2018-01-16 09:26:39,39.0,16.11,7,1.0
0016dfedd97fc2950e388d2971d718c7,garden_tools,BA,2017-04-28 19:54:40,49.75,20.8,24,5.0
0017afd5076e074a48f1f1a4c7bac9c5,computers_accessories,AL,2017-04-06 22:16:10,809.1,44.29,47,1.0
001862358bf858722e1e2ae000cfed8b,cool_stuff,SP,2018-02-06 19:11:57,99.99,13.72,9,5.0
0019c29108428acffd089c36103c9440,furniture_decor,MG,2018-03-06 06:40:28,59.9,19.95,10,5.0
001ab0a7578dd66cd4b0a71f5b6e1e41,electronics,BA,2017-12-27 00:38:47,74.67,52.89,21,4.0
001ac194d4a326a6fa99b581e9a3d963,construction_tools_construction,SP,2018-07-04 11:39:11,54.0,8.54,8,5.0
001b76dd48a5b1eee3e87778daa40df8,computers_accessories,SP,2018-03-26 17:42:53,81.99,13.01,11,5.0
001c85b5f68d2be0cb0797afc9e8ce9a,bed_bath_table,SP,2017-11-24 19:19:18,99.0,13.71,28,2.0
001d8f0e34a38c37f7dba2a37d4eba8b,health_beauty,SP,2017-05-14 17:19:44,37.98,15.56,12,1.0
001daeb0eddc45b999bad0801ad9d273,pet_shop,BA,2017-05-17 23:19:34,38.33,16.79,22,5.0
001dbc16dc51075e987543d23a0507c7,bed_bath_table,MG,2017-01-28 13:17:57,69.9,18.0,16,5.0
001e7ba991be1b19605ca0316e7130f9,computers_accessories,MS,2017-03-18 11:47:37,195.0,18.21,10,5.0
001e7cf2ad6bef3ade12ebc56ceaf0f3,health_beauty,MG,2018-05-19 10:29:23,35.9,15.2,16,1.0
0020262c8a370bd5a174ea6a2a267321,furniture_decor,PR,2017-11-28 09:32:49,79.5,21.05,4,4.0
0020a222f55eb79a372d0efee3cca688,furniture_decor,RJ,2017-08-15 02:45:18,29.99,15.1,9,5.0
002175704e8b209f61b9ad5cfd92b60e,audio,SP,2018-04-22 12:13:25,109.9,13.21,10,4.0
00229e4e43f7a7e0b9dd819ad43268d3,sports_leisure,SP,2018-03-31 16:41:54,74.9,16.49,5,5.0
0025081dcf9330f9a5052ae82c6ce396,books_technical,MG,2018-03-27 16:25:35,14.95,18.23,9,5.0
00254baeb6c932b0a8aeead91fbd02b5,baby,CE,2018-05-08 21:45:54,149.9,43.11,22,5.0
00259a44fcad3fc0474329e925d14fc3,computers_accessories,MG,2017-12-27 17:52:11,19.99,14.1,8,4.0
0025c5d1a8ca53a240ec2634bb4492ea,sports_leisure,CE,2018-07-08 09:17:59,390.0,29.39,23,5.0
002611a77fe03d076285fd4ca95db77c,computers_accessories,DF,2018-02-27 17:46:23,135.0,21.75,23,4.0
002691433f09002ac9ca0c4e8dbb8ead,telephony,RS,2017-02-02 21:18:03,104.0,16.43,5,5.0
0026a368634b6e6f34f33b1499773a30,cool_stuff,SP,2017-10-27 21:10:26,149.0,15.8,11,4.0
00275bce676303c3bfd7292aefdfa223,telephony,SP,2017-11-24 23:10:30,279.9,13.46,10,5.0
00276d5c3491fbf55305e26891040df9,furniture_decor,PR,2018-02-13 11:47:21,44.9,23.22,31,4.0
002834535f7a609a5c68266f173fa59e,telephony,PE,2018-07-23 17:26:00,37.99,19.18,19,5.0
0028de0ca693a1bb26448916a81105cc,construction_tools_lights,RS,2018-08-15 14:59:36,29.99,15.31,13,4.0
002955b0acc63d04f6724a31967e82bd,perfumery,MG,2017-12-18 13:43:54,120.0,15.59,8,5.0
0029c5db35ef291ce99d1262012e7daa,health_beauty,SP,2018-08-25 00:09:40,492.75,21.62,5,4.0
0029f17cf0e7640c5cb6825af681303f,toys,PR,2018-05-02 11:59:06,94.9,18.54,8,5.0
002af7fa9eb99d1456bceb6a13d6fc0b,furniture_decor,SC,2018-02-18 18:46:28,88.34,21.11,22,4.0
002b430ff89b3a24c31a1170acbbedea,cool_stuff,MG,2017-06-20 21:55:21,199.99,65.56,9,5.0
002b4e6fa42cd4a22cc86abc18fe9c05,stationery,SP,2018-03-11 10:24:44,99.9,19.67,8,5.0
002c9def9c9b951b1bec6d50753c9891,housewares,SP,2018-05-14 16:57:47,156.0,17.8,4,4.0
002d040018d12a3853c059f7f23ab5b1,perfumery,PR,2017-11-19 19:16:07,155.0,14.84,8,3.0
002f16b7bc4530031b7d90f791b12d8a,furniture_decor,SP,2018-07-02 16:51:47,249.9,34.23,4,5.0
002f98c0f7efd42638ed6100ca699b42,toys,RS,2017-08-04 09:19:10,53.89,39.73,3,5.0
0030d783f979fbc5981e75613b057344,housewares,RJ,2017-11-24 20:03:02,60.6,17.67,43,1.0
0030ff924c38549807645976adeef2c0,baby,MG,2018-03-25 16:52:27,225.0,67.24,22,5.0
00324b3eda39ba5ecce3945823e3594c,industry_commerce_and_business,PR,2018-04-10 01:14:18,76.0,34.07,23,5.0
0032d07457ae9c806c79368d7d9ce96b,housewares,RJ,2018-03-10 18:53:06,159.0,27.19,50,1.0
003324c70b19a16798817b2b3640e721,luggage_accessories,MG,2017-05-18 19:04:48,205.8,28.9,12,1.0
00335f75ea6a4455b524a8dd177067f5,pet_shop,RJ,2018-04-25 21:47:26,168.8,8.21,8,5.0
00337fe25a3780b3424d9ad7c5a4b35e,bed_bath_table,SP,2017-09-25 17:39:29,119.8,19.88,2,5.0
